,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
38,38,0.02613747362579865,2024-07-09 12:32:01.214997,2024-07-09 12:32:03.243123,0 days 00:00:02.028126,True,20.0,log2,1,5,100,COMPLETE
39,39,0.07922495073378741,2024-07-09 12:32:03.243330,2024-07-09 12:32:05.415805,0 days 00:00:02.172475,False,5.0,sqrt,1,5,500,COMPLETE
40,40,0.02407479161951602,2024-07-09 12:32:05.415990,2024-07-09 12:32:07.620599,0 days 00:00:02.204609,False,50.0,sqrt,2,5,200,COMPLETE
41,41,0.01997051919116078,2024-07-09 12:32:07.620811,2024-07-09 12:32:09.616418,0 days 00:00:01.995607,False,50.0,sqrt,1,5,50,COMPLETE
42,42,0.019970519191160774,2024-07-09 12:32:09.616614,2024-07-09 12:32:11.602518,0 days 00:00:01.985904,False,50.0,sqrt,1,5,50,COMPLETE
43,43,0.0233077081039729,2024-07-09 12:32:11.602723,2024-07-09 12:32:13.552660,0 days 00:00:01.949937,False,50.0,sqrt,1,10,50,COMPLETE
44,44,0.026702134800448613,2024-07-09 12:32:13.552839,2024-07-09 12:32:15.423791,0 days 00:00:01.870952,False,50.0,sqrt,1,5,10,COMPLETE
45,45,0.019970519191160774,2024-07-09 12:32:15.423978,2024-07-09 12:32:17.306889,0 days 00:00:01.882911,False,50.0,log2,1,5,50,COMPLETE
46,46,0.028688497612289584,2024-07-09 12:32:17.307077,2024-07-09 12:32:19.257872,0 days 00:00:01.950795,True,20.0,sqrt,1,5,50,COMPLETE
47,47,0.07700825575630058,2024-07-09 12:32:19.258047,2024-07-09 12:32:21.230719,0 days 00:00:01.972672,False,5.0,sqrt,1,10,50,COMPLETE
48,48,0.01981833372073103,2024-07-09 12:32:21.230903,2024-07-09 12:32:23.278800,0 days 00:00:02.047897,False,50.0,sqrt,1,5,200,COMPLETE
49,49,0.027013059064823167,2024-07-09 12:32:23.278988,2024-07-09 12:32:25.385531,0 days 00:00:02.106543,False,,log2,4,5,200,COMPLETE
