,number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_gamma,params_kernel,state
38,38,1398911225875.7695,2024-07-04 16:44:08.232715,2024-07-04 16:44:11.062148,0 days 00:00:02.829433,10.0,5.0,3,auto,linear,COMPLETE
39,39,4.857920623112432,2024-07-04 16:44:11.062341,2024-07-04 16:44:13.978380,0 days 00:00:02.916039,1.0,0.0,2,scale,rbf,COMPLETE
40,40,0.04854253148412284,2024-07-04 16:44:13.978578,2024-07-04 16:44:16.585816,0 days 00:00:02.607238,10.0,5.0,5,auto,rbf,COMPLETE
41,41,0.04854253148412284,2024-07-04 16:44:16.585980,2024-07-04 16:44:19.296602,0 days 00:00:02.710622,10.0,0.0,2,auto,rbf,COMPLETE
42,42,0.04854253148412284,2024-07-04 16:44:19.296754,2024-07-04 16:44:21.797381,0 days 00:00:02.500627,10.0,0.0,2,auto,rbf,COMPLETE
43,43,0.04854253148412284,2024-07-04 16:44:21.797546,2024-07-04 16:44:24.383352,0 days 00:00:02.585806,10.0,0.0,2,auto,rbf,COMPLETE
44,44,5.394920594281252,2024-07-04 16:44:24.383502,2024-07-04 16:44:27.089625,0 days 00:00:02.706123,0.01,0.0,2,auto,rbf,COMPLETE
45,45,0.04854253148412284,2024-07-04 16:44:27.089881,2024-07-04 16:44:29.781865,0 days 00:00:02.691984,10.0,1.0,2,auto,rbf,COMPLETE
46,46,1398911225875.7695,2024-07-04 16:44:29.782022,2024-07-04 16:44:32.615007,0 days 00:00:02.832985,10.0,0.5,2,auto,linear,COMPLETE
47,47,4.198671183538667,2024-07-04 16:44:32.615162,2024-07-04 16:44:35.147427,0 days 00:00:02.532265,0.1,0.0,2,auto,rbf,COMPLETE
48,48,0.04854253148412284,2024-07-04 16:44:35.147602,2024-07-04 16:44:37.768049,0 days 00:00:02.620447,10.0,5.0,3,auto,rbf,COMPLETE
49,49,3.953128874041911,2024-07-04 16:44:37.768277,2024-07-04 16:44:40.501505,0 days 00:00:02.733228,100.0,0.0,2,scale,rbf,COMPLETE
